Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,3.230000,3.240000,3.180000,3.210000,2.857440,8320400
2020-12-17,3.240000,3.260000,3.220000,3.230000,2.875244,5313100
2020-12-18,3.190000,3.200000,3.100000,3.120000,2.777326,11136600
2020-12-21,2.920000,3.020000,2.900000,3.010000,2.679407,15222600
2020-12-22,3.040000,3.070000,3.020000,3.040000,2.706112,5398800
2020-12-23,3.080000,3.180000,3.080000,3.150000,2.804031,7189400
2020-12-24,3.170000,3.200000,3.160000,3.190000,2.839637,2932600
2020-12-28,3.110000,3.160000,3.100000,3.140000,2.795129,4953900
2020-12-29,3.150000,3.170000,3.110000,3.120000,2.777326,5896000
2020-12-30,3.130000,3.170000,3.080000,3.100000,2.759522,6815500
2020-12-31,3.070000,3.090000,3.050000,3.050000,2.715014,3029900
2021-01-04,3.120000,3.130000,3.040000,3.070000,2.732817,8139200
2021-01-05,3.100000,3.160000,3.100000,3.140000,2.795129,7782400
2021-01-06,3.310000,3.400000,3.300000,3.360000,2.990966,15596500
2021-01-07,3.340000,3.400000,3.340000,3.360000,2.990966,6605600
2021-01-08,3.350000,3.390000,3.310000,3.370000,2.999867,14525600
2021-01-11,3.350000,3.440000,3.340000,3.420000,3.044376,13876800
2021-01-12,3.400000,3.470000,3.390000,3.460000,3.079983,11009200
2021-01-13,3.450000,3.460000,3.420000,3.420000,3.044376,6163000
2021-01-14,3.400000,3.430000,3.380000,3.420000,3.044376,6394900
2021-01-15,3.360000,3.370000,3.260000,3.290000,2.928654,5468100
2021-01-19,3.290000,3.290000,3.260000,3.290000,2.928654,5876100
2021-01-20,3.250000,3.270000,3.230000,3.270000,2.910851,4305900
2021-01-21,3.270000,3.290000,3.200000,3.230000,2.875244,5896800
2021-01-22,3.150000,3.170000,3.110000,3.140000,2.795129,5735500
2021-01-25,3.040000,3.070000,3.010000,3.060000,2.723915,5818800
2021-01-26,3.100000,3.130000,3.080000,3.090000,2.750620,5901700
2021-01-27,3.010000,3.020000,2.920000,2.930000,2.608194,6346200
2021-01-28,2.990000,3.060000,2.980000,3.010000,2.679407,4642200
